crown_id,individual,site,year,easting,northing,hsi_path,lidar_path,rgb_path,individual_id,species,species_name,label_site,height,stemDiameter,canopyPosition,plantStatus,plot
ABBY_2018_NEON.PLA.D16.ABBY.01333_3432,NEON.PLA.D16.ABBY.01333,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01333_3432.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01333_3432.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01333_3432.tif,NEON.PLA.D16.ABBY.01333,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,12.3,15.5,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01345_3438,NEON.PLA.D16.ABBY.01345,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01345_3438.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01345_3438.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01345_3438.tif,NEON.PLA.D16.ABBY.01345,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,11.2,15.2,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01346_3437,NEON.PLA.D16.ABBY.01346,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01346_3437.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01346_3437.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01346_3437.tif,NEON.PLA.D16.ABBY.01346,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,9.7,18.8,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01355_3443,NEON.PLA.D16.ABBY.01355,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01355_3443.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01355_3443.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01355_3443.tif,NEON.PLA.D16.ABBY.01355,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,12.7,24.2,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01356_3425,NEON.PLA.D16.ABBY.01356,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01356_3425.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01356_3425.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01356_3425.tif,NEON.PLA.D16.ABBY.01356,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,9.2,15.1,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01366_3422,NEON.PLA.D16.ABBY.01366,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01366_3422.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01366_3422.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01366_3422.tif,NEON.PLA.D16.ABBY.01366,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,12.0,16.0,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01373_3431,NEON.PLA.D16.ABBY.01373,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01373_3431.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01373_3431.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01373_3431.tif,NEON.PLA.D16.ABBY.01373,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,14.1,17.5,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01435_3430,NEON.PLA.D16.ABBY.01435,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01435_3430.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01435_3430.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01435_3430.tif,NEON.PLA.D16.ABBY.01435,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,14.7,17.4,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01439_3439,NEON.PLA.D16.ABBY.01439,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01439_3439.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01439_3439.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01439_3439.tif,NEON.PLA.D16.ABBY.01439,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,14.4,19.5,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01441_3428,NEON.PLA.D16.ABBY.01441,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01441_3428.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01441_3428.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01441_3428.tif,NEON.PLA.D16.ABBY.01441,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,9.0,17.5,Full sun,Live,unknown
